time,time_count,voltage,current,temp,soc
18:13:05,135sec,11.9,0.52,25,80.6
18:13:07,136sec,11.85,0.21,25,79.2
18:13:07,137sec,11.8,0.54,25,77.8
18:13:09,138sec,11.81,0,25,78.1
18:13:09,139sec,11.87,0,25,79.7
18:13:11,140sec,11.82,0.51,25,78.3
18:13:12,141sec,11.73,1.75,25,75.8
18:13:13,142sec,11.67,2.16,25,74.2
18:13:14,143sec,11.64,2.22,25,73.3
18:13:15,144sec,11.65,2.49,25,73.6
18:13:15,145sec,11.79,1.34,25,77.5
18:13:17,146sec,11.84,0.74,25,78.9
18:13:17,147sec,11.82,0.36,25,78.3
18:13:19,148sec,11.93,0,25,81.4
18:13:19,149sec,11.83,0.75,25,78.6
18:13:21,150sec,11.68,2.22,25,74.4
18:13:22,151sec,11.62,2.43,25,72.8
18:13:23,152sec,11.61,2.8,25,72.5
18:13:23,153sec,11.74,1.78,25,76.1
18:13:25,154sec,11.78,0.95,25,77.2
18:13:25,155sec,11.87,0,25,79.7
18:13:27,156sec,11.9,0.3,25,80.6
18:13:28,157sec,11.89,1.16,25,80.3
18:13:29,158sec,11.75,1.52,25,76.4
18:13:29,159sec,11.64,2.53,25,73.3
18:13:31,160sec,11.65,2.59,25,73.6
18:13:32,161sec,11.67,2.74,25,74.2
18:13:33,162sec,11.73,1.47,25,75.8
18:13:33,163sec,11.8,0.62,25,77.8
18:13:35,164sec,11.8,0,25,77.8
18:13:35,165sec,11.88,0,25,80
18:13:37,166sec,11.78,1.27,25,77.2
18:13:37,167sec,11.65,2.19,25,73.6
18:13:39,168sec,11.62,2.97,25,72.8
18:13:40,169sec,11.63,2.48,25,73.1
18:13:41,170sec,11.74,2.14,25,76.1
18:13:41,171sec,11.83,1.33,25,78.6
18:13:43,172sec,11.84,0,25,78.9
18:13:43,173sec,11.83,0,25,78.6
18:13:45,174sec,11.78,0.54,25,77.2
18:13:45,175sec,11.72,1.23,25,75.6
18:13:47,176sec,11.56,2.34,25,71.1
18:13:47,177sec,11.62,2.61,25,72.8
18:13:49,178sec,11.6,2.88,25,72.2
18:13:49,179sec,11.72,1.35,25,75.6
18:13:51,180sec,11.79,0.75,25,77.5
18:13:51,181sec,11.83,0.32,25,78.6
18:13:53,182sec,11.85,0,25,79.2
18:13:53,183sec,11.93,0.28,25,81.4
18:13:55,184sec,11.89,0.31,25,80.3
18:13:55,185sec,11.86,0.9,25,79.4
18:13:57,186sec,11.8,0.64,25,77.8
18:13:57,187sec,11.83,0.86,25,78.6
18:13:59,188sec,11.81,0.52,25,78.1
18:13:59,189sec,11.85,0.4,25,79.2
18:14:01,190sec,11.85,0.32,25,79.2
18:14:01,191sec,11.84,0,25,78.9
18:14:03,192sec,11.84,0.31,25,78.9
18:14:03,193sec,11.88,0.54,25,80
18:14:05,194sec,11.86,0.28,25,79.4
18:14:05,195sec,11.78,0.62,25,77.2
18:14:07,196sec,11.84,0,25,78.9
18:14:07,197sec,11.77,0.53,25,76.9
18:14:09,198sec,11.81,0.34,25,78.1
18:14:09,199sec,11.79,0.21,25,77.5
18:14:11,200sec,11.85,0,25,79.2
18:14:11,201sec,11.79,0.21,25,77.5
18:14:13,202sec,11.88,0.41,25,80
18:14:14,203sec,11.85,0.78,25,79.2
18:14:15,204sec,11.86,0.64,25,79.4
18:14:15,205sec,11.78,0,25,77.2
18:14:17,206sec,11.85,0,25,79.2
18:14:17,207sec,11.79,0,25,77.5
18:14:19,208sec,11.87,0.34,25,79.7
18:14:19,209sec,11.8,0.34,25,77.8
18:14:21,210sec,11.79,0,25,77.5
18:14:21,211sec,11.86,0,25,79.4
18:14:23,212sec,11.8,0.47,25,77.8
18:14:23,213sec,11.83,0,25,78.6
18:14:25,214sec,11.88,0.53,25,80
18:14:26,215sec,11.81,0.26,25,78.1
18:14:27,216sec,11.79,0,25,77.5
18:14:27,217sec,11.76,0,25,76.7
18:14:29,218sec,11.72,0,25,75.6
18:14:29,219sec,11.77,0.24,25,76.9
18:14:31,220sec,11.72,0.39,25,75.6
18:14:31,221sec,11.82,0.45,25,78.3
18:14:33,222sec,11.81,0,25,78.1
18:14:33,223sec,11.85,0.25,25,79.2
18:14:35,224sec,11.83,0,25,78.6
18:14:35,225sec,11.84,0,25,78.9
18:14:37,226sec,11.76,0,25,76.7
18:14:37,227sec,11.81,0,25,78.1
18:14:39,228sec,11.72,0,25,75.6
18:14:39,229sec,11.76,0.42,25,76.7
18:14:41,230sec,11.79,0,25,77.5
18:14:41,231sec,11.76,0.37,25,76.7
18:14:43,232sec,11.81,0,25,78.1
18:14:43,233sec,11.85,0,25,79.2
18:14:45,234sec,11.81,0,25,78.1
18:14:45,235sec,11.84,0,25,78.9
18:14:47,236sec,11.75,0.4,25,76.4
18:14:47,237sec,11.74,0,25,76.1
18:14:49,238sec,11.72,0.3,25,75.6
18:14:49,239sec,11.62,0.7,25,72.8
18:14:51,240sec,11.74,0,25,76.1
18:14:51,241sec,11.79,0,25,77.5
18:14:53,242sec,11.71,0.42,25,75.3
18:14:53,243sec,11.7,0.7,25,75
18:14:55,244sec,11.42,3.25,25,67.2
18:14:56,245sec,11.59,1.89,25,71.9
18:14:57,246sec,11.53,1.82,25,70.3
18:14:57,247sec,11.62,1.42,25,72.8
18:14:59,248sec,11.82,0.34,25,78.3
18:14:59,249sec,11.85,0,25,79.2
18:15:01,250sec,11.74,0,25,76.1
18:15:01,251sec,11.84,0,25,78.9
18:15:03,252sec,11.73,0,25,75.8
18:15:03,253sec,11.7,0.35,25,75
18:15:05,254sec,11.79,0,25,77.5
18:15:05,255sec,11.75,0,25,76.4
18:15:07,256sec,11.75,0.32,25,76.4
18:15:07,257sec,11.8,0,25,77.8
18:15:09,258sec,11.76,0.23,25,76.7
18:15:09,259sec,11.84,0,25,78.9
18:15:11,260sec,11.78,0,25,77.2
18:15:11,261sec,11.8,0.29,25,77.8
18:15:13,262sec,11.75,0,25,76.4
18:15:13,263sec,11.74,0,25,76.1
18:15:15,264sec,11.64,0.59,25,73.3
18:15:15,265sec,11.72,0.24,25,75.6
18:15:19,268sec,11.77,0.48,25,76.9
18:15:20,269sec,11.48,2.12,25,68.9
18:15:20,270sec,11.81,0.38,25,78.1
18:15:22,271sec,11.75,0.37,25,76.4
18:15:22,272sec,11.78,0,25,77.2
18:15:24,273sec,11.76,0.26,25,76.7
18:15:24,274sec,11.82,0,25,78.3
18:15:26,275sec,11.7,0.31,25,75
18:15:26,276sec,11.8,0.53,25,77.8
18:15:28,277sec,11.78,0,25,77.2
18:15:28,278sec,11.76,0,25,76.7
18:15:30,279sec,11.84,0.22,25,78.9
18:15:30,280sec,11.75,0,25,76.4
18:15:32,281sec,11.82,0.42,25,78.3
18:15:32,282sec,11.79,0.34,25,77.5
18:15:34,283sec,11.76,0,25,76.7
18:15:34,284sec,11.74,0.26,25,76.1
18:15:36,285sec,11.69,0.35,25,74.7
18:15:36,286sec,11.72,0,25,75.6
18:15:38,287sec,11.74,0,25,76.1
18:15:38,288sec,11.81,0,25,78.1
18:15:39,289sec,11.7,0.46,25,75
18:15:41,290sec,11.76,0.26,25,76.7
18:15:41,291sec,11.71,0.38,25,75.3
18:15:43,292sec,11.62,0.68,25,72.8
18:15:43,293sec,11.54,1.57,25,70.6
18:15:45,294sec,11.49,1.5,25,69.2
18:15:45,295sec,11.53,1.51,25,70.3
18:15:47,296sec,11.61,0.94,25,72.5
18:15:47,297sec,11.66,0,25,73.9
18:15:49,298sec,11.74,0.4,25,76.1
18:15:49,299sec,11.75,0.5,25,76.4
18:15:51,300sec,11.68,0.37,25,74.4
18:15:51,301sec,11.52,0.98,25,70
18:15:53,302sec,11.43,1.42,25,67.5
18:15:54,303sec,11.42,1.36,25,67.2
18:15:55,304sec,11.48,1.15,25,68.9
18:15:55,305sec,11.66,0.73,25,73.9
18:15:57,306sec,11.66,0.21,25,73.9
18:15:57,307sec,11.7,0,25,75
18:15:59,308sec,11.62,0,25,72.8
18:15:59,309sec,11.62,0.83,25,72.8
18:16:01,310sec,11.44,1.49,25,67.8
18:16:01,311sec,11.54,1.74,25,70.6
18:16:03,312sec,11.41,1.5,25,66.9
18:16:03,313sec,11.61,0.81,25,72.5
18:16:05,314sec,11.7,0,25,75
18:16:05,315sec,11.77,0.48,25,76.9
18:16:07,316sec,11.75,0.33,25,76.4
18:16:07,317sec,11.68,0.41,25,74.4
18:16:09,318sec,11.67,0,25,74.2
18:16:09,319sec,11.72,0.23,25,75.6
18:16:11,320sec,11.68,0,25,74.4
18:16:11,321sec,11.52,1.38,25,70
18:16:13,322sec,11.59,0,25,71.9
18:16:13,323sec,11.66,0.22,25,73.9
18:16:15,324sec,11.67,0.32,25,74.2
18:16:15,325sec,11.63,0,25,73.1
18:16:17,326sec,11.55,0.69,25,70.8
18:16:17,327sec,11.46,1.42,25,68.3
18:16:19,328sec,11.5,1.54,25,69.4
18:16:19,329sec,11.47,1.42,25,68.6
18:16:21,330sec,11.53,0.92,25,70.3
18:16:21,331sec,11.66,0,25,73.9
18:16:23,332sec,11.68,0.33,25,74.4
18:16:23,333sec,11.65,0.38,25,73.6
18:16:25,334sec,11.58,0.37,25,71.7
18:16:25,335sec,11.48,0.75,25,68.9
18:16:27,336sec,11.36,2.02,25,65.6
18:16:28,337sec,11.41,1.39,25,66.9
18:16:29,338sec,11.52,0.96,25,70
18:16:29,339sec,11.5,0,25,69.4
18:16:31,340sec,11.69,0.59,25,74.7
18:16:31,341sec,11.63,0.56,25,73.1
18:16:33,342sec,11.59,0.27,25,71.9
18:16:33,343sec,11.55,0.31,25,70.8
18:16:35,344sec,11.4,1.48,25,66.7
18:16:35,345sec,11.45,1.38,25,68.1
18:16:37,346sec,11.41,1.39,25,66.9
18:16:37,347sec,11.39,1.06,25,66.4
18:16:39,348sec,11.65,0,25,73.6
18:16:39,349sec,11.64,0.53,25,73.3
18:16:41,350sec,11.74,0.44,25,76.1
18:16:41,351sec,11.63,0.29,25,73.1
18:16:43,352sec,11.65,0.38,25,73.6
18:16:43,353sec,11.58,0.24,25,71.7
18:16:45,354sec,11.74,0.39,25,76.1
18:16:45,355sec,11.64,0,25,73.3
18:16:47,356sec,11.56,0,25,71.1
18:16:47,357sec,11.61,0,25,72.5
18:16:49,358sec,11.55,0.41,25,70.8
18:16:49,359sec,11.57,0.33,25,71.4
18:16:51,360sec,11.5,0.73,25,69.4
18:16:51,361sec,11.41,1.39,25,66.9
18:16:53,362sec,11.37,1.57,25,65.8
18:16:53,363sec,11.35,1.42,25,65.3
18:16:55,364sec,11.55,1.01,25,70.8
18:16:55,365sec,11.61,0,25,72.5
